building_id,15min,30min,60min,15min Scores,30min Scores,60min Scores,15min Overall Scores,30min Overall Scores,60min Overall Scores
1012477746,"{'bus_stop': 19, 'pitch': 6, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.49, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.78}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}",60.03,62.31,62.31
1012477725,"{'bus_stop': 19, 'pitch': 6, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.49, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.78}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}",60.03,62.31,62.31
1012477747,"{'bus_stop': 19, 'pitch': 6, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.49, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.78}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}",60.03,62.31,62.31
1012477748,"{'bus_stop': 19, 'pitch': 6, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.49, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.78}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}",60.03,62.31,62.31
1012477749,"{'bus_stop': 19, 'pitch': 6, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.49, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.78}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}",60.03,62.31,62.31
1012477752,"{'bus_stop': 19, 'pitch': 6, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.49, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.78}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}",60.03,62.31,62.31
1012477727,"{'bus_stop': 16, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'pitch': 4, 'small_supermarket': 3, 'pub': 3, 'atm': 2, 'playground': 2, 'grave_yard': 2, 'place_of_worship': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'school': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'Education': 0.75, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.49, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.78}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}",58.31,62.31,62.31
1012477728,"{'bus_stop': 16, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'pitch': 4, 'small_supermarket': 3, 'pub': 3, 'atm': 2, 'playground': 2, 'grave_yard': 2, 'place_of_worship': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'school': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'Education': 0.75, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.49, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.78}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}",58.31,62.31,62.31
1012477729,"{'bus_stop': 16, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'pitch': 4, 'small_supermarket': 3, 'pub': 3, 'atm': 2, 'playground': 2, 'grave_yard': 2, 'place_of_worship': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'school': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'Education': 0.75, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.49, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.78}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}",58.31,62.31,62.31
1012477730,"{'bus_stop': 16, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'pitch': 4, 'small_supermarket': 3, 'pub': 3, 'atm': 2, 'playground': 2, 'grave_yard': 2, 'place_of_worship': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'school': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'Education': 0.75, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.49, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.78}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}",58.31,62.31,62.31
1012477757,"{'bus_stop': 16, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'pitch': 4, 'small_supermarket': 3, 'pub': 3, 'atm': 2, 'playground': 2, 'grave_yard': 2, 'place_of_worship': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'school': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'Education': 0.75, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.49, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.78}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}",58.31,62.31,62.31
1012477758,"{'bus_stop': 16, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'pitch': 4, 'small_supermarket': 3, 'pub': 3, 'atm': 2, 'playground': 2, 'grave_yard': 2, 'place_of_worship': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'school': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'Education': 0.75, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.49, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.78}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}",58.31,62.31,62.31
1012477808,"{'bus_stop': 16, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'pitch': 4, 'small_supermarket': 3, 'pub': 3, 'atm': 2, 'playground': 2, 'grave_yard': 2, 'place_of_worship': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'school': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'Education': 0.75, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.49, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.78}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}",58.31,62.31,62.31
